文学,外国文学,巨人的陨落,[英]肯·福莱特/于大卫/江苏凤凰文艺出版社/2016-5-1/129.80元,8.9,32972\u4eba\u8bc4\u4ef7
文学,外国文学,追风筝的人,[美]卡勒德·胡赛尼/李继宏/上海人民出版社/2006-5/29.00元,8.9,297075\u4eba\u8bc4\u4ef7
文学,外国文学,1984,[英]乔治·奥威尔/刘绍铭/北京十月文艺出版社/2010-4-1/28.00,9.3,41625\u4eba\u8bc4\u4ef7
文学,外国文学,新名字的故事,[意]埃莱娜·费兰特/陈英/人民文学出版社/2017-4/59.00元,9.2,3908\u4eba\u8bc4\u4ef7
文学,外国文学,二手时间,[白俄]S.A.阿列克谢耶维奇/吕宁思/中信出版社/2016-1/55.00元,8.8,6216\u4eba\u8bc4\u4ef7
文学,外国文学,雪落香杉树,[美]戴维·伽特森/熊裕/全本书店|作家出版社/2017-6/52.00元,8.5,1436\u4eba\u8bc4\u4ef7
文学,外国文学,霍乱时期的爱情,[哥伦比亚]加西亚·马尔克斯/杨玲/南海出版公司/2012-9-1/39.50元,9.0,65741\u4eba\u8bc4\u4ef7
文学,外国文学,鱼王,[俄]维克托·阿斯塔菲耶夫/夏仲翼等/理想国|广西师范大学出版社/2017-4/78.00元,9.1,1041\u4eba\u8bc4\u4ef7
文学,外国文学,月亮和六便士,[英]毛姆/傅惟慈/上海译文出版社/2006-8/15.00元,9.0,73932\u4eba\u8bc4\u4ef7
文学,外国文学,外婆的道歉信,[瑞典]弗雷德里克·巴克曼/孟汇一/天津人民出版社/2017-5/42.00元,8.1,5129\u4eba\u8bc4\u4ef7
文学,外国文学,杀死一只知更鸟,[美]哈珀·李/高红梅/译林出版社/2012-9/32.00元,9.2,15470\u4eba\u8bc4\u4ef7
文学,外国文学,活着为了讲述,[哥伦比亚]加西亚·马尔克斯/李静/南海出版公司/2016-4-1/55.00元,9.0,3093\u4eba\u8bc4\u4ef7
文学,外国文学,世界的凛冬,[英]肯·福莱特/陈杰/江苏凤凰文艺出版社/2017-3-1/132.00（全三册）,9.0,9793\u4eba\u8bc4\u4ef7
文学,外国文学,囚鸟,[美]库尔特·冯内古特/董乐山/百花洲文艺出版社/2017-6/38.00元,8.1,1615\u4eba\u8bc4\u4ef7
文学,外国文学,斯通纳,[美]约翰·威廉斯/杨向荣/世纪文景/上海人民出版社/2016-1/39.00元,8.8,14486\u4eba\u8bc4\u4ef7
文学,外国文学,飘,[美国]玛格丽特·米切尔/李美华/译林出版社/2000-9/40.00元,9.3,79970\u4eba\u8bc4\u4ef7
文学,外国文学,灯塔,[法]克里斯多夫·夏布特/吕俊君/北京联合出版公司·后浪出版公司/2016-2/128.00元,9.0,3170\u4eba\u8bc4\u4ef7
文学,外国文学,我的天才女友,[意]埃莱娜·费兰特/陈英/人民文学出版社/2017-1/42.00元,8.5,6495\u4eba\u8bc4\u4ef7
文学,外国文学,局外人,[法]阿尔贝·加缪/柳鸣九/上海译文出版社/2010-9/22.00元,9.0,32200\u4eba\u8bc4\u4ef7
文学,外国文学,长夜漫漫路迢迢,[美]尤金·奥尼尔/乔志高/猫头鹰文化·四川文艺出版社/2017-5/35.00元,8.8,233\u4eba\u8bc4\u4ef7
文学,外国文学,所谓好玩的事，我再也不做了,[美]大卫·福斯特·华莱士/林晓筱/湖南文艺出版社/2017-1/52.00元,7.7,306\u4eba\u8bc4\u4ef7
文学,外国文学,夜航西飞,[英]柏瑞尔·马卡姆/陶立夏/人民文学出版社/2010-12/29.00元,8.8,4820\u4eba\u8bc4\u4ef7
文学,外国文学,唯有孤独恒常如新,(美)伊丽莎白·毕肖普/包慧怡/湖南文艺出版社/2015-3/39.00,8.1,1400\u4eba\u8bc4\u4ef7
文学,外国文学,到灯塔去,(英)弗吉尼亚·伍尔夫/瞿世镜/上海译文出版社/2009-1-1/22.00,8.6,3565\u4eba\u8bc4\u4ef7
文学,外国文学,布鲁克林有棵树,贝蒂·史密斯（BettySmith)/方柏林/译林出版社/2009-7/28.00元,8.7,6052\u4eba\u8bc4\u4ef7
